filename,start_time_s,end_time_s,chroma_mean,chroma_std,mfccs_mean,mfccs_std,cluster
20180416_092354.wav,30.96380952,49.00571429,0.35143813,0.3195406,-13.815145,125.10592,0
Voice 148.wav,68.4524263,75.5693424,0.3481624,0.33368635,-13.2518835,107.52286,0
sososososoa.wav,0,23.77723356,0.3243404,0.31287885,-15.273178,118.00372,0
nanz bars.wav,25.25170068,28.13097506,0.3882277,0.3134062,-20.41702,107.04436,0
Calamityy.wav,614.41161,656.915737,0.31555137,0.32047167,-14.331544,115.74798,0
20180807_154417.wav,69.09097506,130.8096145,0.3216515,0.31521967,-15.166999,119.09339,0
Voice 107.wav,29.11782313,66.11882086,0.3826901,0.31222898,-14.203509,111.77007,0
20180321_185359.wav,4.086712018,6.873106576,0.36377087,0.32641396,-13.591041,117.016235,0
Calamityy.wav,575.5646259,614.41161,0.33502245,0.3113849,-16.51307,117.34585,0
20180306_195447.wav,41.91201814,44.01342404,0.3416691,0.3237986,-10.552219,112.36782,0
0.wav,108.2862585,124.2615873,0.3811769,0.32086167,-15.829053,119.93159,0
Voice 148.wav,135.1285261,140.782585,0.35464266,0.3175475,-13.8425455,105.937904,0
dwvwbrderam.wav,50.92136054,59.28054422,0.32039666,0.32805133,-17.669117,120.78641,0
Voice 118.wav,206.2628571,219.0454422,0.32025298,0.31114224,-14.512824,117.81012,0
berns.wav,40.99482993,42.15582766,0.38717845,0.3200932,-14.828799,116.14811,0
20180117_143453.wav,28.18902494,31.50947846,0.3730096,0.32937855,-17.310566,116.200714,0
Voice 057.wav,19.5047619,20.42195011,0.3649521,0.31070492,-14.768844,123.07861,0
Siljansoa.wav,370.2073469,415.7997279,0.32526237,0.3180929,-14.134113,125.73775,0
Voice 156.wav,11.54031746,16.31201814,0.32799503,0.31522042,-18.874142,118.86669,0
grooveish.wav,59.14122449,61.88117914,0.34296465,0.31161246,-12.850482,114.12172,0
Voice 096.wav,47.11328798,66.68770975,0.32448995,0.32358512,-14.85266,125.53642,0
Voice 156.wav,0.6037188209,5.77015873,0.31332365,0.32605934,-19.563494,116.30635,0
Abiding Time.wav,38.77732426,88.36353741,0.3680725,0.31338465,-13.838457,121.01698,0
Voice 106.wav,8.463673469,13.38630385,0.28366566,0.3244232,-14.413318,104.92334,0
20170430_212057.wav,217.1646259,355.5091156,0.38379285,0.3117765,-15.527811,105.52797,0
20180331_175310.wav,0,1.47446712,0.35362306,0.32717368,-12.851447,108.00015,0
scottis.wav,317.1033107,355.6600454,0.29728603,0.32291886,-16.541502,120.43932,0
0.wav,42.03972789,91.35891156,0.33833298,0.32531977,-14.674265,112.82963,0
0.wav,91.35891156,108.2862585,0.28054765,0.322739,-15.142677,106.44968,0
20180616_215018.wav,189.7999093,270.837551,0.3527768,0.30754635,-14.938082,114.915344,0
Voice 090soa.wav,84.67156463,249.7073923,0.300853,0.31825522,-13.358374,118.096405,0
Abiding Time.wav,112.140771,134.7686168,0.356985,0.31002918,-16.138199,124.2949,0
20180308_145943.wav,0,1.741496599,0.36472237,0.31932852,-21.688795,119.14716,0
20170321_202320.wav,326.9601814,363.0556009,0.34686673,0.30841368,-16.796614,121.30976,0
Voice 025.wav,48.03047619,61.56770975,0.3775475,0.3243789,-13.785899,111.44587,0
soagyyfjvru.wav,64.53986395,67.50040816,0.32903644,0.31785244,-15.268365,125.43572,0
Voice 025.wav,10.24,43.13106576,0.40585226,0.32278523,-17.01207,119.130615,0
guit.wav,334.9246259,369.8822676,0.36538446,0.32904106,-19.37912,119.51016,0
20170430_212057.wav,355.5091156,647.0704762,0.40771708,0.31577823,-15.878756,104.20641,0
dwvwbrderam.wav,12.71292517,30.30204082,0.4122092,0.3270877,-17.923054,117.17418,0
20170411_132630.wav,0,15.39482993,0.35469922,0.31951272,-17.3434,110.76837,0
Voice 024.wav,71.88897959,78.58793651,0.3548008,0.31949204,-18.45119,115.05099,0
Siljansoa.wav,0,55.97170068,0.35564417,0.32449338,-15.696426,120.82663,0
Battle of The Black Spoon.wav,55.10095238,58.56072562,0.32894439,0.3221531,-18.302153,120.03331,0
Battle of The Black Spoon.wav,32.83301587,41.84235828,0.3303007,0.32102585,-19.35581,115.30345,0
yyg8.wav,84.23038549,86.77297052,0.3069602,0.3114776,-14.503771,118.03753,0
Voice 099.wav,46.38185941,64.87655329,0.33680847,0.32009518,-10.559008,116.33941,0
Voice 019.wav,9.601451247,10.72761905,0.33266783,0.31659487,-13.676925,117.83908,0
Voice 049.wav,291.6890703,305.667483,0.3066434,0.31871578,-12.754137,112.92643,0
Voice 116.wav,157.2339229,188.3254422,0.29791328,0.31222755,-13.7109995,115.29876,0
intro ingrid.wav,25.90185941,30.24399093,0.30282676,0.32382485,-15.608511,109.649734,0
intro ingrid.wav,60.77823129,74.5476644,0.3158188,0.31979808,-15.3677845,108.335785,0
triplet trestämmigt.wav,68.58013605,75.1629932,0.32519525,0.32042766,-12.289255,110.67883,0
uhfjfuusoa.wav,69.39283447,79.93469388,0.3582035,0.30756086,-17.921976,120.47715,0
Voice 024.wav,47.13650794,63.57623583,0.37127012,0.3231996,-17.073605,110.39964,0
Voice 116.wav,21.37396825,44.5939229,0.3065352,0.3132223,-12.592224,115.04414,0
20170727_224102.wav,28.32834467,29.41968254,0.34228665,0.32662207,-13.849361,117.61247,0
Voice 130.wav,2.64707483,3.413333333,0.3858941,0.3170028,-16.744165,113.50566,0
Voice 005faking-sad.wav,20.68897959,23.0922449,0.3820317,0.30508706,-17.018625,111.8515,0
Stackars jante.wav,33.81986395,37.00099773,0.36725038,0.32188877,-18.084133,119.14684,0
Voice 107.wav,1.567346939,5.781768707,0.34172752,0.32394445,-15.04007,111.24205,0
intro ingrid.wav,40.30984127,43.1078458,0.28478697,0.3277356,-16.337418,103.772964,0
Voice 109.wav,2.681904762,142.5473016,0.3126018,0.32877797,-17.503952,119.9957,0
Voice 018.wav,48.15818594,48.41360544,0.7614347,0.15391566,-32.32014,156.55672,1
20180715_133031 jag ville bara.wav,8.544943311,9.287981859,0.7129069,0.2082266,-16.555569,143.20119,1
20180310_193333.wav,18.5875737,18.87782313,0.69494534,0.21223795,-15.469987,174.86292,1
20180527_003006.wav,1.079727891,1.242267574,0.65923184,0.19260992,-24.907452,159.57199,1
Ny polska.wav,38.71927438,39.2185034,0.7235284,0.19024514,-29.62275,151.0561,1
Voice 034.wav,2.635464853,5.038730159,0.7566386,0.18471059,-12.840537,126.38595,1
Audio message_Alvina_001.wav,0.3715192744,0.4527891156,0.64165175,0.20955744,-14.948167,131.75288,1
Voice 083.wav,2.031746032,2.751564626,0.67149144,0.21231762,-21.697836,140.43929,1
20180527_003006.wav,0.429569161,0.4876190476,0.65763986,0.20228568,-25.631296,152.48207,1
20180527_003006.wav,0.1973696145,0.3250793651,0.6626787,0.19631365,-21.858004,144.60841,1
20170727_224102.wav,2.728344671,5.654058957,0.80252934,0.15741973,-17.613937,148.97562,1
20180715_133031 jag ville bara.wav,15.56897959,17.72843537,0.7001529,0.20873848,-18.617636,148.28357,1
niiuuw.wav,907.9931066,914.6107937,0.6526123,0.21952155,-21.84489,138.49295,1
20180527_002923.wav,0.9636281179,1.079727891,0.6182741,0.21979533,-14.0071335,138.92111,1
20180416_085843.wav,0,0.1741496599,0,0,-87.02853,301.47568,2
Voice 008.wav,0,0.2902494331,0,0,-87.02853,301.47565,2
udda1 (1).wav,0,0.09287981859,0,0,-87.02853,301.4757,2
udda1 (1).wav,0.09287981859,0.2205895692,0,0,-87.02853,301.47568,2
Voice 095.wav,0,0.3366893424,0,0,-87.02853,301.47565,2
Voice 080.wav,0,0.1741496599,0,0,-87.02853,301.47568,2
Sketch 2.wav,0,0.2902494331,0,0,-87.02853,301.47565,2
20180730_002637.wav,0,0.06965986395,0,0,-87.02853,301.4757,2
Värmlands a dur.wav,0,0.3482993197,0,0,-87.02853,301.47565,2
Voice 080.wav,0.1741496599,0.3250793651,0,0,-87.02853,301.47565,2
Voice 128.wav,0,0.3482993197,0,0,-87.02853,301.47565,2
Voice 132.wav,0,0.2786394558,0,0,-87.02852,301.47565,2
Emergency_20210216_192111.wav,0,0.2438095238,0,0,-87.028534,301.47565,2
20180730_002637.wav,0.06965986395,0.2554195011,0,0,-87.02853,301.47568,2
udda1.wav,0.09287981859,0.2205895692,0,0,-87.02853,301.47568,2
udda1.wav,0,0.09287981859,0,0,-87.02853,301.4757,2
Voice 093.wav,0,0.3250793651,0,0,-87.02853,301.47565,2
Voice 020.wav,0,0.1393197279,0,0,-87.02853,301.47568,2
Voice 032beat.wav,0,1.033287982,0.3065475,0.31541786,-31.388021,143.96799,3
20171229_185111.wav,30.37170068,31.63718821,0.3093918,0.31636882,-32.27726,162.03615,3
20170414_170017 FAMILY CRAZY.wav,2631.087891,3205.09678,0.3467852,0.31362244,-31.931416,142.50194,3
Stackars jante.wav,0,0.7778684807,0.29832,0.33461916,-34.930912,141.23164,3
agnesjam.wav,42.82920635,109.3659864,0.35829347,0.32643276,-25.611294,137.73158,3
Voice 082.wav,0,1.102947846,0.31728566,0.33024403,-33.012215,170.85498,3
Omnipotent melody sketch.wav,130.3800454,131.8661224,0.35016274,0.29771227,-28.322437,148.38765,3
Voice 060.wav,2.054965986,2.403265306,0.38025787,0.3066314,-25.963488,150.66093,3
20180115_221805.wav,160.6472562,162.5048526,0.3745517,0.3162124,-25.53875,158.00414,3
20180612_010018.wav,25.089161,37.33768707,0.37729707,0.3252071,-30.0768,145.64546,3
20180612_010018.wav,88.83954649,100.7513832,0.3843215,0.3252762,-27.58989,139.55244,3
20170321_135518.wav,309.5800454,315.5591837,0.34942016,0.31241238,-27.506552,136.02518,3
Voice 028.wav,0,1.927256236,0.461034,0.31972724,-28.05851,158.07768,3
SOA 7 POLSKA SLUT.wav,11.60997732,15.27873016,0.37143725,0.30954167,-30.819386,149.12296,3
Voice 153.wav,25.41424036,26.31981859,0.32143116,0.30476856,-27.545416,163.52344,3
20180216_213246.wav,453.636644,472.061678,0.33023793,0.30301732,-28.964115,161.0557,3
20170329_173720.wav,2.054965986,2.414875283,0.38441494,0.33143276,-30.355915,165.20158,3
m.wav,64.35410431,131.8545125,0.3048409,0.3209557,-32.887707,128.93541,3
20171229_185111.wav,16.10303855,19.15646259,0.35431919,0.32202664,-29.678389,145.5778,3
20180413_204747.wav,39.60163265,44.9538322,0.36928356,0.3114567,-23.146877,152.61198,3
pianoriff.wav,9.880090703,10.76244898,0.33788753,0.2889377,-28.132418,148.13277,3
20170324_185158.wav,59.61723356,60.12807256,0.36235252,0.3070978,-31.395035,161.9291,3
20171229_185111.wav,23.4521542,26.08761905,0.363088,0.31024334,-29.494139,151.89342,3
m.wav,937.447619,964.080907,0.36132023,0.30774608,-27.778017,137.24242,3
